Customer Name,Logo Name,Contract Start Date,Contract End Date,CS MMYY,CE MMYY,Industrial Sector,Application,Version [TBD],Geography,Owner(PM),Exective,Plan Project start,Plan Project End,Total Usecases/Module,Custom usecase,Product usecase,Project Status (R/G/Y),Customer health,Recommendation[One pagers],Notes,Onepager,Revenue,GRR,NRR,Churn,NPS Score,Product ARR,Services Revenue
Flipkart/JCI (Assert),Flipkart,8/25/2022,8/24/2025,Q3 2022,Q3 2025,Retail,Computer Vision,V1,APAC,Aakash Roy,Dinesh,,,0,,,Red,Red,,,,,,,,,,
GE Power,GE,01/05/24,4/30/2025,Q2 2024,Q2 2025,Renewables,APM,V1,APAC,Aakash Roy,TK,,,0,,,Green,Red,,,,,,,,,,
Greif,Greif,9/30/2022,12/31/2024,Q3 2022,Q4 2024,Transportation & Logistics,Computer Vision,V1,NAM,Mariam,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
Halliburton,Halliburton,06/04/24,10/05/27,Q2 2024,Q2 2027,Oil & Gas,Computer Vision,V1,NAM,Krishnan,Bhavana ,,,0,,,Green,,,,,,,,,,,
Heineken Ireland Sales Limited,Heineken,01/01/22,12/31/2024,Q1 2022,Q4 2024,Food & Beverage,Computer Vision,V1,EU,Nayanika,Dinesh,,,0,,,Green,Green,,,,,,,,,,
HPCL ,HPCL,6/16/2021,6/15/2026,Q2 2021,Q2 2026,Oil & Gas,Computer Vision,V1,APAC,Nithin,Dinesh,,,0,,,Red,Green,,,,,,,,,,
Invenergy Services LLC,Invenergy ,12/22/2023,12/31/2024,Q4 2023,Q4 2024,Renewables,APM,V1,NAM,Bhavana,Bhavana ,,,0,,,Red,,,,,,,,,,,
Katz Hillel ,Katz Hillel ,6/14/2024,7/31/2025,Q2 2024,Q3 2025,Education,Computer Vision,V1,NAM,Samatha,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
Larsen & Toubro Limited,Larsen & Toubro Limited,,12/31/2025,,Q4 2025,Other,Computer Vision,V1,APAC,Geetha,Dinesh,,,24,11,13,Green,Green,,,,,,,,,,
Liberty Hill ISD,Liberty Hill ISD,1/18/2024,1/17/2025,Q1 2024,Q1 2025,Education,Computer Vision,V1,NAM,,Bhavana ,,,0,,,Red,,,,,,,,,,,
National Grid Grain LNG Ltd.,National Grid,3/15/2024,3/14/2025,Q1 2024,Q1 2025,Oil & Gas,APM,V1,EU,Samatha,Bhavana ,,,0,,,Green,,,,,,,,,,,
National Grid Renewable,National Grid,9/17/2024,3/31/2027,Q3 2024,Q1 2027,Renewables,APM,V1,NAM,Samatha,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
Novo Nordisk,Novo Nordisk,01/01/22,12/31/2025,Q1 2022,Q4 2025,Healthcare,Computer Vision,V1,APAC,Prakhar,Dinesh,,,0,,,Red,Amber,,,,,,,,,,
Ørsted,Ørsted,8/15/2023,8/15/2026,Q3 2023,Q3 2026,Renewables,APM,V1,NAM,,Bhavana ,,,0,,,Amber,Amber,,,,,,,,,,
Pecos Barstow Toyah ISD,Pecos Barstow Toyah ISD,12/01/24,6/28/2028,Q1 2024,Q2 2028,Education,Computer Vision,V1,NAM,Samatha,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
PepsiCo,PepsiCo,,10/01/25,,Q1 2025,Food & Beverage,Computer Vision,V1,NAM,Samatha,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
Primergy Solar Management LLC,Primergy Solar,01/07/24,9/30/2027,Q3 2024,Q3 2027,Renewables,APM,V1,NAM,Andrea,Bhavana ,,,0,,,Green,Green,,,,,,,,,,
Reliance BP Mobility Limited(CP Plus),Reliance BP,01/01/22,12/31/2025,Q1 2022,Q4 2025,Oil & Gas,Computer Vision,V1,APAC,Pavan,Dinesh,,,8,0,8,Amber,Amber,,,,,,,,,,
Reliance bp Mobility Limited (JIO),Reliance BP,01/01/22,12/31/2026,Q1 2022,Q4 2026,Oil & Gas,Computer Vision,V1,APAC,Nayanika,Dinesh,,,97,61,36,Amber,Amber,,,,,,,,,,
"Renew Energy Maintenance, LLC",ReNew,10/26/2023,11/15/2026,Q4 2023,Q4 2026,Renewables,APM,V1,APAC,,Bhavana ,,,0,,,Green,,,,,,,,,,,
Secureworks Inc,Secureworks Inc,01/06/21,5/30/2025,Q2 2021,Q2 2025,Cybersecurity,EPP,V1,APAC,,TK,,,0,,,Red,,,,,,,,,,,
"Shell International Exploration and Production, Inc.","Shell International Exploration and Production, Inc.",,3/31/2026,,Q1 2026,Oil & Gas,,V1,NAM,,Bhavana ,,,0,,,Red,Red,,,,,,,,,,
St. Theresa Catholic School,St. Theresa Catholic School,11/15/2023,04/07/28,Q4 2023,Q3 2028,Education,Computer Vision,V1,NAM,Samatha,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
Tokio Marine,Grupo Tom Brasil,01/05/24,4/30/2027,Q2 2024,Q2 2027,Events & Entertainment,Computer Vision,V1,LATAM,,Bhavana ,,,0,,,Green,,,,,,,,,,,
TRL KROSAKI REFRACTORIES LIMITED,TRL KROSAKI REFRACTORIES LIMITED,6/23/2022,01/02/25,Q2 2022,Q1 2025,Industrial Manufacturing,Computer Vision,V1,APAC,Nayanika,Dinesh,,,7,2,5,Amber,Green,,,,,,,,,,
UBS,UBS,01/09/24,8/30/2025,Q3 2024,Q3 2025,Renewables,APM,V1,NAM,Samatha,Dinesh,,,0,,,Red,Amber,,,,,,,,,,
UPL Limited,UPL,01/08/23,12/31/2024,Q3 2023,Q4 2024,Chemicals,Computer Vision,V1,APAC,Nayanika,Dinesh,,,20,,,Green,Green,,,,,,,,,,
Valley Queen Cheese,Valley Queen Cheese,5/15/2024,7/30/2026,Q2 2024,Q3 2026,Food & Beverage,Computer Vision,V1,NAM,Mariam,Bhavana ,,,0,,,Red,,,,,,,,,,,
VISMA/Postnord,VISMA/Postnord,,12/31/2024,,Q4 2024,Transportation & Logistics,Silverline,V1,APAC,Prakhar,Dinesh,,,0,,,Green,,,,,,,,,,,
Vistra,Vistra,01/01/23,12/31/2025,Q1 2023,Q4 2025,Renewables,Computer Vision,V1,NAM,,TK,,,0,,,Red,,,,,,,,,,,
Woolworths,Woolworths,,04/03/25,,Q1 2025,Warehouse,Computer Vision,V1,APAC,Nithin,Dinesh,,,10,10,,Green,Green,,,,,,,,,,
Xerox Ltd,Xerox,01/07/22,6/30/2025,Q3 2022,Q2 2025,Technology,Computer Vision,V1,APAC,Prakhar,Dinesh,,,0,,,Red,Amber,,,,,,,,,,
